threshold,precision,recall
0.09574230452681255,0.16192937123169682,0.9353233830845771
0.09580606476858139,0.16206896551724137,0.9353233830845771
0.096213849436495,0.1622088006902502,0.9353233830845771
0.0965130419659195,0.16234887737478412,0.9353233830845771
0.09664037650614701,0.16248919619706137,0.9353233830845771
0.09674530606160438,0.16262975778546712,0.9353233830845771
0.09681857371342903,0.16277056277056276,0.9353233830845771
0.09730926266849464,0.16291161178509533,0.9353233830845771
0.0976245459688969,0.16305290546400694,0.9353233830845771
0.0980964294388382,0.16319444444444445,0.9353233830845771
0.09811488347144594,0.1633362293657689,0.9353233830845771
0.09854780869151761,0.1634782608695652,0.9353233830845771
0.0993549678378359,0.16362053959965187,0.9353233830845771
0.09953959776650972,0.16376306620209058,0.9353233830845771
0.09958559652510648,0.16390584132519617,0.9353233830845771
0.10000022752009552,0.16404886561954624,0.9353233830845771
0.10003205384153468,0.16419213973799127,0.9353233830845771
0.10036780146802733,0.16433566433566432,0.9353233830845771
0.1005728559620753,0.16447944006999124,0.9353233830845771
0.10060969315941017,0.1646234676007005,0.9353233830845771
0.10074513602108363,0.16476774758983348,0.9353233830845771
0.10090572605829899,0.1649122807017544,0.9353233830845771
0.1010968124256088,0.16505706760316066,0.9353233830845771
0.1011729712873678,0.16520210896309315,0.9353233830845771
0.10120999373241199,0.16534740545294635,0.9353233830845771
0.10137041607308925,0.16549295774647887,0.9353233830845771
0.10142312674365628,0.1656387665198238,0.9353233830845771
0.1027913067798433,0.1657848324514991,0.9353233830845771
0.10295923574560509,0.16593115622241836,0.9353233830845771
0.103222117381207,0.16607773851590105,0.9353233830845771
0.10346486251597316,0.16622458001768348,0.9353233830845771
0.10352184734459391,0.1663716814159292,0.9353233830845771
0.10390124907555816,0.16651904340124005,0.9353233830845771
0.10401133676810329,0.16666666666666666,0.9353233830845771
0.10464338509668043,0.1668145519077196,0.9353233830845771
0.10471092415185054,0.1669626998223801,0.9353233830845771
0.10482926852916691,0.1671111111111111,0.9353233830845771
0.10519623898825493,0.16725978647686832,0.9353233830845771
0.1053069702067784,0.1674087266251113,0.9353233830845771
0.10568523965565835,0.16755793226381463,0.9353233830845771
0.10607360092142244,0.16770740410347904,0.9353233830845771
0.10611481488461283,0.16785714285714284,0.9353233830845771
0.1061550500716425,0.1680071492403932,0.9353233830845771
0.1066279884730463,0.16815742397137745,0.9353233830845771
0.10671249492647462,0.1683079677708147,0.9353233830845771
0.10688989579751804,0.16845878136200718,0.9353233830845771
0.10705050884962754,0.16860986547085202,0.9353233830845771
0.10711055386256116,0.1687612208258528,0.9353233830845771
0.1071231907093098,0.16891284815813118,0.9353233830845771
0.10724155956763204,0.16906474820143885,0.9353233830845771
0.10739580997831599,0.1692169216921692,0.9353233830845771
0.1074764055752274,0.16936936936936936,0.9353233830845771
0.10747895549003587,0.16952209197475204,0.9353233830845771
0.10758420879069203,0.16967509025270758,0.9353233830845771
0.10762697681394176,0.16982836495031617,0.9353233830845771
0.10813225698790306,0.16998191681735986,0.9353233830845771
0.10828026081999981,0.17013574660633485,0.9353233830845771
0.10830745393581748,0.17028985507246377,0.9353233830845771
0.10850765791454156,0.17044424297370808,0.9353233830845771
0.10861532545522153,0.1705989110707804,0.9353233830845771
0.10914243955443219,0.17075386012715713,0.9353233830845771
0.10928386412304147,0.1709090909090909,0.9353233830845771
0.1093186140177359,0.1710646041856233,0.9353233830845771
0.10991748933470095,0.17122040072859745,0.9353233830845771
0.1104703578799206,0.17137648131267091,0.9353233830845771
0.1124131475713702,0.17153284671532848,0.9353233830845771
0.1128857828691843,0.17168949771689498,0.9353233830845771
0.11291445507954308,0.17184643510054845,0.9353233830845771
0.11293639554740124,0.17200365965233302,0.9353233830845771
0.11299369844578767,0.17216117216117216,0.9353233830845771
0.11312766911358876,0.17231897341888175,0.9353233830845771
0.11375345634359398,0.1724770642201835,0.9353233830845771
0.11405614813825629,0.17263544536271808,0.9353233830845771
0.11422891158635172,0.17279411764705882,0.9353233830845771
0.11439327684235366,0.17295308187672492,0.9353233830845771
0.114458537907893,0.1731123388581952,0.9353233830845771
0.11464434521495966,0.17327188940092167,0.9353233830845771
0.1147703160421256,0.17343173431734318,0.9353233830845771
0.1156973044409856,0.17359187442289936,0.9353233830845771
0.11573957016086166,0.17375231053604437,0.9353233830845771
0.11582524727538236,0.17391304347826086,0.9353233830845771
0.11586375630023074,0.17407407407407408,0.9353233830845771
0.11623902614441863,0.1742354031510658,0.9353233830845771
0.116427466765624,0.17439703153988867,0.9353233830845771
0.11654702054195501,0.1745589600742804,0.9353233830845771
0.11729978050384533,0.17472118959107807,0.9353233830845771
0.11745046654306178,0.17488372093023255,0.9353233830845771
0.11749124980455905,0.1750465549348231,0.9353233830845771
0.11753092871961476,0.17520969245107176,0.9353233830845771
0.11753251019979248,0.17537313432835822,0.9353233830845771
0.11753868855223643,0.17553688141923435,0.9353233830845771
0.1178166542938126,0.17570093457943925,0.9353233830845771
0.11810579077332778,0.17586529466791395,0.9353233830845771
0.11811001622029375,0.1760299625468165,0.9353233830845771
0.118554239750094,0.17619493908153702,0.9353233830845771
0.11877501257824834,0.17636022514071295,0.9353233830845771
0.11898829292165655,0.17652582159624414,0.9353233830845771
0.11941602234466248,0.17669172932330826,0.9353233830845771
0.11946659106170225,0.17685794920037629,0.9353233830845771
0.11984649045671862,0.17702448210922786,0.9353233830845771
